xi,x_orig_mm,y_orig_mm,x_bumped_mm,y_bumped_mm,s_mm,h_mm
0.0080020005,-442.8392337,-10.88225698,-442.8392337,-10.88225698,14.82993256,0
0.008127031758,-442.7320691,-10.77752888,-442.7320691,-10.77752888,14.97946086,0
0.008252063016,-442.624817,-10.67446104,-442.624817,-10.67446104,15.12827826,0
0.008377094274,-442.51748,-10.57300313,-442.51748,-10.57300313,15.2760993,0
0.008502125531,-442.4100609,-10.47310484,-442.4100609,-10.47310484,15.42261492,0
0.008627156789,-442.3025622,-10.37471585,-442.3025622,-10.37471585,15.56851364,0
0.008752188047,-442.1949866,-10.27778585,-442.1949866,-10.27778585,15.71324428,0
0.008877219305,-442.0873368,-10.18226451,-442.0873368,-10.18226451,15.85711695,0
0.009002250563,-441.9796153,-10.08810153,-441.9796153,-10.08810153,16.00043518,0
0.00912728182,-441.871825,-9.995246581,-441.871825,-9.995246581,16.14248735,0
0.009252313078,-441.7639683,-9.903649349,-441.7639683,-9.903649349,16.28404066,0
0.009377344336,-441.656048,-9.81325952,-441.656048,-9.81325952,16.42490052,0
0.009502375594,-441.5480667,-9.724026775,-441.5480667,-9.724026775,16.56486103,0
0.009627406852,-441.4400271,-9.635900799,-441.4400271,-9.635900799,16.70440173,0
0.00975243811,-441.3319318,-9.548831274,-441.3319318,-9.548831274,16.84315594,0
0.009877469367,-441.2237835,-9.462767884,-441.2237835,-9.462767884,16.98134073,0
0.01000250063,-441.1155848,-9.377660313,-441.1155848,-9.377660313,17.11915927,0
0.01012753188,-441.0073384,-9.293458244,-441.0073384,-9.293458244,17.25616104,0
0.01025256314,-440.8990469,-9.21011136,-440.8990469,-9.21011136,17.39284735,0
0.0103775944,-440.790713,-9.127569344,-440.790713,-9.127569344,17.52909873,0
0.01050262566,-440.6823393,-9.04578188,-440.6823393,-9.04578188,17.66480038,0
0.01062765691,-440.5739285,-8.964698651,-440.5739285,-8.964698651,17.8002512,0
0.01075268817,-440.4654832,-8.884269342,-440.4654832,-8.884269342,17.93524149,0
0.01087771943,-440.3570062,-8.804443634,-440.3570062,-8.804443634,18.06991169,0
0.01100275069,-440.2484999,-8.725171211,-440.2484999,-8.725171211,18.20437734,0
0.01112778195,-440.1399672,-8.646401757,-440.1399672,-8.646401757,18.33841229,0
0.0112528132,-440.0314106,-8.568084956,-440.0314106,-8.568084956,18.47229205,0
0.01137784446,-439.9228328,-8.49017049,-439.9228328,-8.49017049,18.60595959,0
0.01150287572,-439.8142364,-8.412608042,-439.8142364,-8.412608042,18.73938373,0
0.01162790698,-439.7056241,-8.335347297,-439.7056241,-8.335347297,18.87270515,0
0.01175293823,-439.5969986,-8.258337938,-439.5969986,-8.258337938,19.00585153,0
0.01187796949,-439.4883623,-8.181534031,-439.4883623,-8.181534031,19.13889066,0
0.01200300075,-439.3797158,-8.104922933,-439.3797158,-8.104922933,19.27186107,0
0.01212803201,-439.271059,-8.02850728,-439.271059,-8.02850728,19.40466899,0
0.01225306327,-439.1623917,-7.952289785,-439.1623917,-7.952289785,19.53740491,0
0.01237809452,-439.0537139,-7.876273163,-439.0537139,-7.876273163,19.6700432,0
0.01250312578,-438.9450253,-7.800460128,-438.9450253,-7.800460128,19.80253899,0
0.01262815704,-438.8363259,-7.724853395,-438.8363259,-7.724853395,19.93496493,0
0.0127531883,-438.7276154,-7.649455678,-438.7276154,-7.649455678,20.06725464,0
0.01287821955,-438.6188938,-7.574269692,-438.6188938,-7.574269692,20.19943246,0
0.01300325081,-438.5101609,-7.499298151,-438.5101609,-7.499298151,20.33153858,0
0.01312828207,-438.4014165,-7.424543769,-438.4014165,-7.424543769,20.46346757,0
0.01325331333,-438.2926606,-7.350009262,-438.2926606,-7.350009262,20.59531777,0
0.01337834459,-438.1838929,-7.275697343,-438.1838929,-7.275697343,20.72706197,0
0.01350337584,-438.0751133,-7.201610727,-438.0751133,-7.201610727,20.85865096,0
0.0136284071,-437.9663217,-7.127752129,-437.9663217,-7.127752129,20.99016415,0
0.01375343836,-437.857518,-7.054124263,-437.857518,-7.054124263,21.12153006,0
0.01387846962,-437.748702,-6.980729842,-437.748702,-6.980729842,21.25277461,0
0.01400350088,-437.6398735,-6.907571583,-437.6398735,-6.907571583,21.38394165,0
0.01412853213,-437.5310324,-6.834652199,-437.5310324,-6.834652199,21.51491802,0
0.01425356339,-437.4221786,-6.761974404,-437.4221786,-6.761974404,21.6458092,0
0.01437859465,-437.3133119,-6.689540914,-437.3133119,-6.689540914,21.7765867,0
0.01450362591,-437.2044322,-6.617354442,-437.2044322,-6.617354442,21.90719716,0
0.01462865716,-437.0955393,-6.545417704,-437.0955393,-6.545417704,22.03772632,0
0.01475368842,-436.9866331,-6.473733413,-436.9866331,-6.473733413,22.16809812,0
0.01487871968,-436.8777135,-6.402304284,-436.8777135,-6.402304284,22.29833976,0
0.01500375094,-436.7687803,-6.331133031,-436.7687803,-6.331133031,22.42849855,0
0.0151287822,-436.6598334,-6.260222369,-436.6598334,-6.260222369,22.55845438,0
0.01525381345,-436.5508725,-6.189575013,-436.5508725,-6.189575013,22.6883191,0
0.01537884471,-436.4418977,-6.119193676,-436.4418977,-6.119193676,22.81806323,0
0.01550387597,-436.3329087,-6.049081074,-436.3329087,-6.049081074,22.94762948,0
0.01562890723,-436.2239054,-5.97923992,-436.2239054,-5.97923992,23.07710947,0
0.01575393848,-436.1148876,-5.909672929,-436.1148876,-5.909672929,23.20642306,0
0.01587896974,-436.0058552,-5.840382816,-436.0058552,-5.840382816,23.3355985,0
0.016004001,-435.8968081,-5.771372296,-435.8968081,-5.771372296,23.46468629,0
0.01612903226,-435.7877462,-5.702644081,-435.7877462,-5.702644081,23.5935602,0
0.01625406352,-435.6786692,-5.634200888,-435.6786692,-5.634200888,23.72233764,0
0.01637909477,-435.569577,-5.56604543,-435.569577,-5.56604543,23.85098844,0
0.01650412603,-435.4604695,-5.498180422,-435.4604695,-5.498180422,23.97945167,0
0.01662915729,-435.3513466,-5.430608579,-435.3513466,-5.430608579,24.10782426,0
