1	0
0.99869	0.000194
0.99635	0.00054
0.99286	0.001056
0.98822	0.001744
0.98244	0.002599
0.97553	0.003622
0.96751	0.004917
0.9584	0.006551
0.94821	0.00868
0.93698	0.011285
0.92473	0.014393
0.91149	0.017969
0.89729	0.021944
0.88216	0.026254
0.86613	0.03088
0.84926	0.035807
0.83156	0.040993
0.81309	0.046364
0.79389	0.051831
0.77401	0.057286
0.75348	0.062635
0.73236	0.067808
0.7107	0.07263
0.68855	0.077081
0.66595	0.080977
0.64297	0.084245
0.61966	0.086598
0.59606	0.088209
0.57224	0.08923
0.54826	0.089814
0.52416	0.09002
0.5	0.089851
0.47584	0.089378
0.45174	0.088594
0.42776	0.087554
0.40394	0.086235
0.38034	0.084694
0.35703	0.082919
0.33405	0.080952
0.31145	0.078799
0.2893	0.076469
0.26764	0.073995
0.24652	0.071357
0.22599	0.068591
0.20611	0.065716
0.18691	0.062735
0.16844	0.059635
0.15074	0.056452
0.13387	0.053194
0.11784	0.049875
0.10271	0.046513
0.088508	0.043132
0.075266	0.039752
0.063016	0.036384
0.051787	0.033033
0.041604	0.029709
0.032492	0.026436
0.024472	0.023174
0.017562	0.019935
0.011779	0.016561
0.007137	0.013007
0.003646	0.009305
0.001313	0.005524
0	0
0.001313	-0.005524
0.003646	-0.009305
0.007137	-0.013007
0.011779	-0.016561
0.017562	-0.019935
0.024472	-0.023174
0.032492	-0.026436
0.041604	-0.029709
0.051787	-0.033033
0.063016	-0.036384
0.075266	-0.039752
0.088508	-0.043132
0.10271	-0.046513
0.11784	-0.049875
0.13387	-0.053194
0.15074	-0.056452
0.16844	-0.059635
0.18691	-0.062735
0.20611	-0.065716
0.22599	-0.068591
0.24652	-0.071357
0.26764	-0.073995
0.2893	-0.076469
0.31145	-0.078799
0.33405	-0.080952
0.35703	-0.082919
0.38034	-0.084694
0.40394	-0.086235
0.42776	-0.087554
0.45174	-0.088594
0.47584	-0.089378
0.5	-0.089851
0.52416	-0.09002
0.54826	-0.089814
0.57224	-0.08923
0.59606	-0.088209
0.61966	-0.086598
0.64297	-0.084245
0.66595	-0.080977
0.68855	-0.077081
0.7107	-0.07263
0.73236	-0.067808
0.75348	-0.062635
0.77401	-0.057286
0.79389	-0.051831
0.81309	-0.046364
0.83156	-0.040993
0.84926	-0.035807
0.86613	-0.03088
0.88216	-0.026254
0.89729	-0.021944
0.91149	-0.017969
0.92473	-0.014393
0.93698	-0.011285
0.94821	-0.00868
0.9584	-0.006551
0.96751	-0.004917
0.97553	-0.003622
0.98244	-0.002599
0.98822	-0.001744
0.99286	-0.001056
0.99635	-0.00054
0.99869	-0.000194
1	0
