# y   ux   uy   uz
4.12285915e-03  1.51000000e+01  -2.84038519e-01  1.87379374e+01
4.23835261e-03  1.51000000e+01  -2.93296552e-01  1.87379374e+01
4.35668561e-03  1.51000000e+01  -3.02782205e-01  1.87379374e+01
4.47792798e-03  1.51000000e+01  -3.12501074e-01  1.87379374e+01
4.60215123e-03  1.51000000e+01  -3.22458893e-01  1.87379374e+01
4.72942867e-03  1.51000000e+01  -3.32661537e-01  1.87379374e+01
4.85983538e-03  1.51000000e+01  -3.43115026e-01  1.87379374e+01
4.99344829e-03  1.51000000e+01  -3.53825526e-01  1.87379374e+01
5.13034624e-03  1.51000000e+01  -3.64799357e-01  1.87379374e+01
5.27061000e-03  1.51000000e+01  -3.76042993e-01  1.87379374e+01
5.41432230e-03  1.51000000e+01  -3.87563068e-01  1.87379374e+01
5.56156795e-03  1.51000000e+01  -3.99366377e-01  1.87379374e+01
5.71243382e-03  1.51000000e+01  -4.11459885e-01  1.87379374e+01
5.86700890e-03  1.51000000e+01  -4.23850727e-01  1.87379374e+01
6.02538440e-03  1.51000000e+01  -4.36546213e-01  1.87379374e+01
6.18765375e-03  1.51000000e+01  -4.49553832e-01  1.87379374e+01
6.35391269e-03  1.51000000e+01  -4.62881260e-01  1.87379374e+01
6.52425931e-03  1.51000000e+01  -4.76536359e-01  1.87379374e+01
6.69879411e-03  1.51000000e+01  -4.90527185e-01  1.87379374e+01
6.87762006e-03  1.51000000e+01  -5.04861992e-01  1.87379374e+01
7.06084266e-03  1.51000000e+01  -5.19549238e-01  1.87379374e+01
7.24857002e-03  1.51000000e+01  -5.34597588e-01  1.87379374e+01
7.44091287e-03  1.51000000e+01  -5.50015920e-01  1.87379374e+01
7.63798471e-03  1.51000000e+01  -5.65813330e-01  1.87379374e+01
7.83990181e-03  1.51000000e+01  -5.81999139e-01  1.87379374e+01
8.04678327e-03  1.51000000e+01  -5.98582896e-01  1.87379374e+01
8.25875117e-03  1.51000000e+01  -6.15574384e-01  1.87379374e+01
8.47593056e-03  1.51000000e+01  -6.32983629e-01  1.87379374e+01
8.69844957e-03  1.51000000e+01  -6.50820901e-01  1.87379374e+01
8.92643948e-03  1.51000000e+01  -6.69096724e-01  1.87379374e+01
9.16003480e-03  1.51000000e+01  -6.87821880e-01  1.87379374e+01
